,number,value,datetime_start,datetime_complete,duration,params_lr,state
86,86,0.06716880947351456,2024-08-13 00:39:20.835252,2024-08-13 00:41:51.545196,0 days 00:02:30.709944,0.0003736234224368842,COMPLETE
87,87,0.049646053463220596,2024-08-13 00:41:51.547038,2024-08-13 00:44:22.167813,0 days 00:02:30.620775,0.0002504765019698328,COMPLETE
88,88,0.09933158755302429,2024-08-13 00:44:22.169585,2024-08-13 00:44:26.691080,0 days 00:00:04.521495,0.00014009008920529088,PRUNED
89,89,0.13007161021232605,2024-08-13 00:44:26.691776,2024-08-13 00:44:31.629578,0 days 00:00:04.937802,0.001558482546657535,PRUNED
90,90,0.0691242441534996,2024-08-13 00:44:31.630391,2024-08-13 00:44:39.464984,0 days 00:00:07.834593,0.0002239933146366034,PRUNED
91,91,0.05215790867805481,2024-08-13 00:44:39.465669,2024-08-13 00:47:09.306205,0 days 00:02:29.840536,0.00022609142546284571,COMPLETE
92,92,0.08524146676063538,2024-08-13 00:47:09.307938,2024-08-13 00:47:14.117988,0 days 00:00:04.810050,0.00019473322967165143,PRUNED
93,93,0.09189494699239731,2024-08-13 00:47:14.118670,2024-08-13 00:47:19.028062,0 days 00:00:04.909392,0.00016203409816925625,PRUNED
94,94,0.08939702063798904,2024-08-13 00:47:19.028744,2024-08-13 00:47:23.955875,0 days 00:00:04.927131,0.00017937008098815844,PRUNED
95,95,0.06855099648237228,2024-08-13 00:47:23.956539,2024-08-13 00:48:23.372765,0 days 00:00:59.416226,0.000502899010527282,PRUNED
96,96,0.047293856739997864,2024-08-13 00:48:23.373594,2024-08-13 00:50:57.557082,0 days 00:02:34.183488,0.0002665248471017045,COMPLETE
97,97,0.06037881597876549,2024-08-13 00:50:57.558864,2024-08-13 00:53:28.193122,0 days 00:02:30.634258,0.00031159916790498237,COMPLETE
98,98,0.045401431620121,2024-08-13 00:53:28.194928,2024-08-13 00:55:58.909695,0 days 00:02:30.714767,0.00021256849021758514,COMPLETE
99,99,0.10223705321550369,2024-08-13 00:55:58.911591,2024-08-13 00:56:03.624640,0 days 00:00:04.713049,0.00011269925276816626,PRUNED
