,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_lr,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
53,53,0.06020326167345047,2024-07-25 13:47:48.386727,2024-07-25 13:48:13.392452,0 days 00:00:25.005725,elu,tanh,sigmoid,0.00017448237102469345,1016,195,964,COMPLETE
54,54,0.05745331570506096,2024-07-25 13:48:13.394197,2024-07-25 13:48:37.342722,0 days 00:00:23.948525,elu,tanh,sigmoid,0.0003002089556949034,753,815,901,COMPLETE
55,55,0.07166150957345963,2024-07-25 13:48:37.344746,2024-07-25 13:49:03.383561,0 days 00:00:26.038815,sigmoid,elu,sigmoid,0.0002391935125427152,913,773,985,COMPLETE
56,56,0.11184189468622208,2024-07-25 13:49:03.385637,2024-07-25 13:49:29.836841,0 days 00:00:26.451204,elu,tanh,sigmoid,0.003203364933984002,874,849,840,COMPLETE
57,57,0.05105940252542496,2024-07-25 13:49:29.838855,2024-07-25 13:49:56.399750,0 days 00:00:26.560895,elu,tanh,sigmoid,0.00011804666599490186,317,724,880,COMPLETE
58,58,0.047667693346738815,2024-07-25 13:49:56.401915,2024-07-25 13:50:22.979389,0 days 00:00:26.577474,elu,tanh,sigmoid,0.00010221262531440651,625,614,932,COMPLETE
59,59,0.059439580887556076,2024-07-25 13:50:22.981414,2024-07-25 13:50:49.367773,0 days 00:00:26.386359,tanh,elu,elu,0.00010038851949444619,606,599,948,COMPLETE
60,60,0.05041247233748436,2024-07-25 13:50:49.369781,2024-07-25 13:51:16.372528,0 days 00:00:27.002747,elu,sigmoid,sigmoid,0.00016302200701912847,543,375,1015,COMPLETE
61,61,0.04791649430990219,2024-07-25 13:51:16.374350,2024-07-25 13:51:41.389694,0 days 00:00:25.015344,elu,tanh,sigmoid,0.00011720768369705704,855,466,910,COMPLETE
62,62,0.04781503602862358,2024-07-25 13:51:41.391689,2024-07-25 13:52:07.582272,0 days 00:00:26.190583,elu,tanh,sigmoid,0.00011775544647991703,854,459,914,COMPLETE
63,63,0.052840281277894974,2024-07-25 13:52:07.584288,2024-07-25 13:52:33.874096,0 days 00:00:26.289808,elu,tanh,sigmoid,0.00020960080227891016,793,445,985,COMPLETE
64,64,0.045317668467760086,2024-07-25 13:52:33.876099,2024-07-25 13:53:00.156833,0 days 00:00:26.280734,elu,tanh,sigmoid,0.0001010272830096217,752,537,832,COMPLETE
65,65,0.05036165192723274,2024-07-25 13:53:00.162466,2024-07-25 13:53:26.590336,0 days 00:00:26.427870,elu,tanh,sigmoid,0.000102211905544446,749,542,750,COMPLETE
