,number,value,datetime_start,datetime_complete,duration,params_layers,params_lr,state
86,86,0.05266755819320679,2024-07-25 15:34:37.132808,2024-07-25 15:35:01.111065,0 days 00:00:23.978257,3,0.00020822876139831882,COMPLETE
87,87,0.06074902042746544,2024-07-25 15:35:01.112721,2024-07-25 15:35:28.611402,0 days 00:00:27.498681,4,0.0001980165571076293,COMPLETE
88,88,0.0806659460067749,2024-07-25 15:35:28.613057,2024-07-25 15:35:51.466823,0 days 00:00:22.853766,3,0.0003278845981777873,COMPLETE
89,89,0.05664249137043953,2024-07-25 15:35:51.468497,2024-07-25 15:36:15.595152,0 days 00:00:24.126655,3,0.00015390871491472355,COMPLETE
90,90,0.08033695071935654,2024-07-25 15:36:15.596805,2024-07-25 15:36:36.168931,0 days 00:00:20.572126,2,0.00024395396900584495,COMPLETE
91,91,0.05531400069594383,2024-07-25 15:36:36.170613,2024-07-25 15:36:57.649959,0 days 00:00:21.479346,3,0.0001758222829707823,COMPLETE
92,92,0.06471427530050278,2024-07-25 15:36:57.651614,2024-07-25 15:37:22.423234,0 days 00:00:24.771620,3,0.00021363381314925831,COMPLETE
93,93,0.06029540300369263,2024-07-25 15:37:22.424963,2024-07-25 15:37:47.187840,0 days 00:00:24.762877,3,0.00014219751387679243,COMPLETE
94,94,0.060096289962530136,2024-07-25 15:37:47.189609,2024-07-25 15:38:11.990703,0 days 00:00:24.801094,3,0.00011726067549391212,COMPLETE
95,95,0.07145567983388901,2024-07-25 15:38:11.992341,2024-07-25 15:38:34.918207,0 days 00:00:22.925866,3,0.00019102982988479408,COMPLETE
96,96,0.05616418644785881,2024-07-25 15:38:34.919937,2024-07-25 15:38:58.723117,0 days 00:00:23.803180,3,0.00015828183473665688,COMPLETE
97,97,0.055507928133010864,2024-07-25 15:38:58.724763,2024-07-25 15:39:22.502246,0 days 00:00:23.777483,3,0.00013008534539222654,COMPLETE
98,98,0.11848373711109161,2024-07-25 15:39:22.504305,2024-07-25 15:39:44.324272,0 days 00:00:21.819967,3,0.0008922323074044015,COMPLETE
99,99,0.4130527973175049,2024-07-25 15:39:44.326005,2024-07-25 15:40:11.293146,0 days 00:00:26.967141,5,0.002852859481296644,COMPLETE
